Subject,"networks.SensoriMotor.Lateral (L) (-55,-12,29)-networks.SensoriMotor.Lateral (R) (56,-10,29)","networks.SensoriMotor.Lateral (L) (-55,-12,29)-networks.SensoriMotor.Superior  (0,-31,67)","networks.SensoriMotor.Lateral (L) (-55,-12,29)-networks.Visual.Medial (2,-79,12)","networks.SensoriMotor.Lateral (L) (-55,-12,29)-networks.Visual.Occipital (0,-93,-4)","networks.SensoriMotor.Lateral (L) (-55,-12,29)-networks.Visual.Lateral (L) (-37,-79,10)","networks.SensoriMotor.Lateral (L) (-55,-12,29)-networks.Visual.Lateral (R) (38,-72,13)","networks.SensoriMotor.Lateral (R) (56,-10,29)-networks.SensoriMotor.Superior  (0,-31,67)","networks.SensoriMotor.Lateral (R) (56,-10,29)-networks.Visual.Medial (2,-79,12)","networks.SensoriMotor.Lateral (R) (56,-10,29)-networks.Visual.Occipital (0,-93,-4)","networks.SensoriMotor.Lateral (R) (56,-10,29)-networks.Visual.Lateral (L) (-37,-79,10)","networks.SensoriMotor.Lateral (R) (56,-10,29)-networks.Visual.Lateral (R) (38,-72,13)","networks.SensoriMotor.Superior  (0,-31,67)-networks.Visual.Medial (2,-79,12)","networks.SensoriMotor.Superior  (0,-31,67)-networks.Visual.Occipital (0,-93,-4)","networks.SensoriMotor.Superior  (0,-31,67)-networks.Visual.Lateral (L) (-37,-79,10)","networks.SensoriMotor.Superior  (0,-31,67)-networks.Visual.Lateral (R) (38,-72,13)","networks.Visual.Medial (2,-79,12)-networks.Visual.Occipital (0,-93,-4)","networks.Visual.Medial (2,-79,12)-networks.Visual.Lateral (L) (-37,-79,10)","networks.Visual.Medial (2,-79,12)-networks.Visual.Lateral (R) (38,-72,13)","networks.Visual.Occipital (0,-93,-4)-networks.Visual.Lateral (L) (-37,-79,10)","networks.Visual.Occipital (0,-93,-4)-networks.Visual.Lateral (R) (38,-72,13)","networks.Visual.Lateral (L) (-37,-79,10)-networks.Visual.Lateral (R) (38,-72,13)"
29,1.27147418949284,0.265817848866006,-0.0527584559161408,1.34850516614244,-0.146961636117051,-0.324704354877868,0.151677865290116,0.00878324641672792,1.1861446885347,-0.183162200561364,-0.297417420849966,0.607964538210387,0.185676078169321,0.652193522824723,0.65247229611956,0.0237011316351279,0.666983344873721,1.01840793368982,-0.203686497074496,-0.389972933853334,1.54150063215168
30,0.970290777676547,0.488120915535342,1.49010746136071,1.45106695329815,1.44470663336872,1.69097462177833,-0.20990272098853,1.43726696407346,1.39659003894918,1.26353996788198,0.999842773927271,0.142071048386849,0.208211403476221,0.244724155931592,0.366041720448285,1.80027534915685,1.91555069406862,2.02900035833507,1.97358737509672,1.59459022655096,1.74807247372489
31,0.308469525069628,0.618652625535702,-0.493918215772757,-1.10626249944016,0.0567969174567536,0.216375919663301,-0.181531962190177,-0.218991461022276,-0.489233823913623,0.1566484166742,0.610807600220582,-0.316912048816435,-0.392044653147844,0.62985023642696,0.422179438001827,0.882450901127329,0.23682545927638,0.049501144017958,0.217923785970826,-0.0197987931804965,1.49252532311436
32,1.93937833317197,0.365880152212574,-0.159163345371911,0.0521704787388789,0.207970618821705,0.273769807954822,0.360840680022797,0.0945004254145949,0.33035771483597,0.48964557296993,0.568298507441411,0.161609728083954,0.0655864611376758,-0.0836539819621901,-0.0610645596461577,1.59145326251389,0.884246284017614,0.92155561852268,1.40382159875725,1.48617395318475,2.91895453766829
33,2.23134795980054,0.99309503405069,0.469806247780354,0.475429172441444,0.876275997042318,0.765708864159418,0.836905917970359,0.354366851111544,0.337538025121082,0.696017053285502,0.566385120839833,1.38092809145764,1.12013428827924,0.672124531408762,0.90598612051697,1.48421607772259,0.624142279897822,0.899710802101949,0.732869517805992,0.899862896576659,1.72013319597956
34,1.08270111176628,-0.0861787265714221,0.257301902065953,0.0435425568032636,0.50257097090796,0.408495302044393,-0.232773622683929,0.350323662452647,-0.483709183037083,0.251875924342601,0.0345526184407262,0.379108812085477,0.837253990958787,0.91951852355116,0.980899515429436,-0.0804932593658096,0.856850046711288,0.193433086748976,0.52941223774169,0.826742134945801,0.981716878282214
35,0.356627847343889,0.497384882255944,0.122188013005589,-0.518042297870712,-0.356596506125911,-0.277144519637613,0.272053948951665,0.447689941571701,0.643220450364204,-0.585442030720627,0.161895501595066,-0.253106403615026,-0.136666729293582,0.0078551164061782,-1.11406936594062,0.23599894568271,-0.218459264859137,0.941315672446172,-0.0466864908353576,0.418081620235578,-0.108525572712259
36,0.937626630831578,1.10404955412924,-0.18259973140404,-0.918839837496503,-0.510331501202467,-0.0281637694075353,0.604199068165556,-0.094656534734231,-0.485008573383118,-0.304203442782676,-0.14858117884365,-0.803519763108498,-1.25731909851759,-1.02884118794198,-0.411974903179496,0.606538420125024,1.00842864630352,0.945150715390661,1.36580899948438,0.56179624664958,1.17892334108367
37,0.799801604942119,0.722455604064042,0.184734311894562,0.497207915673056,0.394670670853667,0.452761650664175,1.07069784741526,-0.440158368687548,-0.251052984182465,0.445612143742015,0.731497462697924,-0.411401532539958,-0.0485125691644209,0.971229731182583,1.60225519109089,1.40954329467489,-0.14587030213639,-0.428984643004157,0.206410684995412,-0.0538541541011313,1.52875551909485
38,0.570887450794694,0.994514663650273,-0.858835192188264,-0.022546704003787,-0.0572668048845029,0.103393682985722,0.666066882963688,-0.699352927644154,-0.941494443882813,-0.728166307604689,0.0808016309650415,-0.270963079238182,0.0915487728986264,0.192038085853511,0.0504303021032916,0.684835694253178,0.871528573802321,0.120279719085112,1.98196413343964,0.0335928609804173,0.14320773631179
39,0.993409602763402,-0.207015665436514,-0.717769778934283,-0.323458895053302,-0.0828174437649691,0.191843783329286,0.283997711832008,-1.05952875230319,-0.381053104399183,-0.265929238790843,0.061902075362993,-0.0740473274028774,0.56031585499364,0.0306271088539085,-0.522806855138127,0.612589372284212,0.671659374900711,-0.317779717216956,0.786743887316405,-0.230866998727093,0.274473424783269
40,0.40853678952548,0.354781268465339,-0.787156441586216,-0.829210790265206,-1.02460867020922,-0.459652377355105,0.0781763538908481,0.271120195987169,0.346670234258917,0.147446677151264,0.59887773079571,-0.096655071546509,-0.519692604959407,-0.0186756120951637,-0.159318080449093,1.18272500287527,1.02117770157322,1.63050977993704,1.06579745369158,1.30758281620349,0.795009670289897
41,1.02982453725721,0.375273004166998,0.466177007991513,0.31200221551633,0.0477501400945747,-0.134667728152872,0.142428659836135,0.931138550013184,0.112767738967719,0.260793346981782,0.0964393325526506,0.17433563283199,-0.153066170290772,-0.361776029772023,-0.571873365677525,0.220829612027257,0.249520393722813,0.295665165647506,0.918556238289201,0.940386690592185,1.6563150502819
42,1.19619383406561,0.368813133894328,0.35920328325477,-0.141011630264244,0.647825996198431,0.551388523734263,0.222201113848068,0.402384596513741,0.00647027553144042,0.356978662288022,0.209592514412369,-0.312688192227779,0.660398210239371,-0.029043236531302,0.144533754248882,-0.0120310583494851,-0.266002139917745,-0.496164926150209,-0.879330220602157,-0.684353057752736,1.90616509093588
43,1.21192849840293,0.17104003898261,-0.244500798013445,0.559333469834672,0.674883439960111,1.47581419400662,-0.15045649846297,-0.182903401032528,0.899445088676945,0.409785298709963,1.03082000987898,-0.635644557839034,-0.580804146164804,-0.35272673789141,-0.0580773803481073,0.495154022785014,0.494281206603465,0.110254210755662,0.744542552738951,0.935870041830339,0.900174752768521
44,0.974058832141032,0.255796846451825,-0.185970967592356,0.191376285145832,0.410478778261796,0.655910996723416,0.60804992578617,-0.194141860399352,-0.11245653069191,0.527644206931791,0.984895405084207,-0.279171579304067,-0.308361947282931,0.302270175044457,1.46852139713585,1.03147920075492,0.657275967389518,-0.359089594286031,0.805950652518495,-0.330241127052876,0.255702028087902
45,0.833869451104809,0.226016381253055,-0.0530534692996611,0.867434623369629,0.158247564888367,0.199711615247034,0.57742261394802,0.485121961050917,0.913053730541701,0.766060520000186,0.551407151176903,0.953432443833593,0.80171645806679,1.28632195728472,1.10849093227932,0.22275608576812,1.68316352250584,1.13511675368114,0.58159439075741,0.661861870057974,1.62949164325012
46,2.10720672299652,0.849674715097559,-0.177663712436307,1.42647689064254,1.23439727778326,1.5311690492715,1.11425838242223,-0.0174942469716144,1.177140164294,1.02295609722386,1.40484363812688,0.359626064166513,0.496830708976615,0.449975270216359,0.57328349878775,-0.579397635865457,-0.0735249666191124,-0.0888734292954352,0.847761015059828,1.0917958214558,1.74932538504808
47,1.5157365661007,0.0346210693369589,0.603414801859853,-0.382418933843804,-0.391154424594369,-0.0340548255691221,0.140835146067069,0.522370492593584,-0.837373488794657,-0.45555328694805,0.00711628818372827,-0.390464425787726,-0.364763515579552,-0.171525140225636,-0.0177250691987471,0.146536630170067,0.553314388337191,0.933699070698035,0.798622109413324,0.316311169161497,1.35657881748269
